#"Step","Temperature (K)","Density (g/mL)"
240000,300.124885596,1.09709825617
241000,291.88070075,1.11317416466
242000,298.07715339,1.11599091877
243000,287.005288031,1.09930069271
244000,297.787342477,1.10796529229
245000,290.274160168,1.11666158134
246000,313.459486586,1.10615519065
247000,296.126073462,1.11503426493
248000,302.51082099,1.10856746872
249000,301.060419681,1.08984889399
250000,306.577366691,1.11631719906
251000,304.799788646,1.08521656546
252000,302.268474848,1.10550023685
253000,287.105218581,1.10908871603
254000,296.774946535,1.12014667703
255000,296.626094681,1.11201351241
256000,293.000244512,1.10291728753
257000,306.438035145,1.09295643858
258000,297.051197702,1.09210179955
259000,307.705225271,1.09263335779
260000,292.524317676,1.11843801067
261000,296.167522205,1.1062743655
262000,295.853337908,1.08966310455
263000,309.662892064,1.10033356302
264000,313.54276471,1.0980165555
265000,311.344957455,1.10391091007
266000,296.736064032,1.08373916859
267000,296.34983089,1.11038589633
268000,310.213300011,1.09901854335
269000,296.371841851,1.09704297626
270000,297.835743421,1.09192451685
271000,307.410388618,1.09511913139
272000,300.281675796,1.10201759228
273000,302.7308718,1.09297858413
274000,298.479940256,1.08843679776
275000,305.862067775,1.09180686978
276000,300.846716401,1.09636218326
277000,298.379099171,1.10078040364
278000,291.366973927,1.1082785546
279000,304.750340107,1.10487007045
280000,296.746933409,1.11768591048
281000,296.934063153,1.08916339834
282000,304.865560548,1.09331215468
283000,304.137791712,1.09782597561
284000,288.708822762,1.0997784282
285000,292.176801809,1.10496873477
286000,298.624657082,1.10301995773
287000,297.036879227,1.10254337297
288000,301.795822782,1.11921313096
289000,297.778981409,1.09756957786
290000,293.507677445,1.09875170298
291000,305.934131249,1.11352289998
292000,296.228993884,1.12260350236
293000,300.943985436,1.09019794532
294000,303.479661874,1.11343987236
295000,295.329446357,1.08897762104
296000,296.807463765,1.10015687174
297000,291.406042894,1.10028328261
298000,292.501705012,1.12116678434
299000,294.38330503,1.11808471173
300000,301.188106074,1.11522184184
301000,294.309006076,1.11028618523
302000,291.022387412,1.09755494972
303000,304.123483035,1.10347915323
304000,291.763303348,1.11506269946
305000,291.325415848,1.09440636524
306000,297.386012413,1.11078471826
307000,296.219910001,1.09085580503
308000,293.553423534,1.09497086704
309000,299.525519379,1.1149663873
310000,290.67258076,1.10236837282
311000,293.320134958,1.10974311944
312000,294.746433711,1.12511280157
313000,288.923125667,1.11528611167
314000,293.876358767,1.11294228204
315000,306.408625523,1.13360408662
316000,301.946482425,1.1126364429
317000,291.279509798,1.11538672466
318000,302.124870945,1.10628038205
319000,299.751885955,1.10773282303
320000,307.920347872,1.10824846267
321000,288.123034687,1.09895509489
322000,308.577288067,1.10486919336
323000,301.173973041,1.10895903073
324000,295.677780832,1.10673620616
325000,306.992129469,1.10849274791
326000,298.052889201,1.11216497876
327000,299.34748021,1.10336039815
328000,299.705163112,1.10162393923
329000,293.717015299,1.10895934463
330000,298.858193914,1.08179469175
331000,301.933679104,1.08795405753
332000,293.129769991,1.08626607534
333000,288.668210454,1.10343997763
334000,305.460205293,1.10884756021
335000,297.21029952,1.10465309734
336000,300.16669278,1.11216352908
337000,299.356320666,1.11544405992
338000,299.156048981,1.09502407132
339000,291.635108827,1.11919860915
340000,300.246511401,1.10732431227
341000,297.554750336,1.09646029554
342000,292.141664197,1.12727147749
343000,301.910700787,1.11353592442
344000,300.604358412,1.0893042799
345000,315.128144316,1.12060554306
346000,303.98560167,1.10282178968
347000,290.673673895,1.11182194442
348000,295.195744544,1.107291243
349000,302.98005952,1.10717860383
350000,284.544683068,1.11176006094
351000,294.357113567,1.09850834348
352000,299.176971946,1.09203164903
353000,299.90152073,1.08987143416
354000,303.357778734,1.09717303947
355000,301.556825732,1.09885810453
356000,296.496623113,1.10839691833
357000,288.052561489,1.09014538209
358000,303.4006641,1.10026897508
359000,297.094733689,1.10125593612
360000,303.439185832,1.08855716373
361000,299.217825305,1.08455353502
362000,306.38559426,1.09247063896
363000,294.618756486,1.09435903726
364000,301.978712161,1.10111283688
365000,296.339388269,1.10394835052
366000,304.759536523,1.11895351027
367000,292.50876653,1.10259019502
368000,293.729776922,1.09527119534
369000,298.951350384,1.10576850773
370000,303.130856587,1.10616534318
371000,297.882651066,1.11091426261
372000,292.17286325,1.11461300359
373000,295.503375606,1.10424218913
374000,304.200251261,1.101998666
375000,305.591776498,1.10282013848
376000,294.179607166,1.09456057917
377000,299.411403624,1.10442712374
378000,288.904439495,1.09269217353
379000,296.028768922,1.09939315363
380000,297.402385334,1.08729813169
381000,303.067928628,1.0798066697
382000,301.038231622,1.08497486485
383000,295.804780162,1.07649576091
384000,297.338717271,1.11338786631
385000,306.815297401,1.08801379686
386000,309.456475012,1.0926883057
387000,297.740380799,1.08935419849
388000,295.420284264,1.10547274832
389000,306.868187409,1.10846755367
390000,289.485857745,1.12248455785
391000,297.370924901,1.1116847546
392000,298.245881448,1.12061697246
393000,299.973059309,1.11645054544
394000,295.960403555,1.11162650364
395000,294.376101061,1.10433937569
396000,294.89138026,1.09927922783
397000,306.413252666,1.10352174649
398000,305.26911395,1.11137000191
399000,302.915017366,1.12739271997
400000,298.332407279,1.10127159257
401000,295.116502023,1.10549191289
402000,306.169594859,1.10868499164
403000,300.05659039,1.0889761474
404000,289.926669583,1.12039206143
405000,292.66112239,1.1092745544
406000,289.30464968,1.10302824515
407000,300.558531441,1.10924230706
408000,295.909268282,1.09137734725
409000,288.177463381,1.12106537101
410000,291.941317948,1.11629164871
411000,299.270585257,1.10568061976
412000,291.13914073,1.10477214842
413000,306.281740187,1.10329312084
414000,295.465623683,1.1171341085
415000,299.991595046,1.11572498318
416000,297.992706837,1.10916993109
417000,300.575438499,1.11064415996
418000,290.388903476,1.0940328666
419000,293.730989217,1.10239936128
420000,293.454154377,1.07689488808
421000,308.285106261,1.10863358471
422000,300.272728444,1.11578289439
423000,294.368573573,1.11502588834
424000,302.964899886,1.11243791884
425000,303.628412919,1.09904627929
426000,300.443146271,1.09091683992
427000,301.671748469,1.09299792397
428000,314.555554734,1.10506928435
429000,299.800918498,1.08714414836
430000,299.792167859,1.11054367143
431000,315.215427482,1.10959682329
432000,292.213435772,1.09014983777
433000,293.126075721,1.09306515644
434000,288.8255751,1.10188211165
435000,297.038135645,1.11148592106
436000,302.403776012,1.10319043742
437000,297.912504645,1.10682784561
438000,297.719236621,1.09425888038
439000,297.20605889,1.10666837572
440000,294.238206738,1.11388355641
441000,304.771494007,1.11707967517
442000,316.07023619,1.11714395413
443000,293.646809303,1.0941245437
444000,294.470558438,1.10765224604
445000,306.210211305,1.1088611959
446000,293.865555062,1.10727258705
447000,299.832854341,1.12896955277
448000,304.188782909,1.11347127918
449000,303.478014837,1.10984181787
450000,295.801455276,1.09363211034
451000,303.812199915,1.10651177165
452000,304.548756637,1.09828772941
453000,299.635175824,1.10015107351
454000,295.55504098,1.08367854527
455000,305.305286741,1.1075618531
456000,293.214514768,1.0961517118
457000,301.03323509,1.11150657883
458000,290.799003889,1.10608684711
459000,298.499918299,1.10638459374
460000,293.391561692,1.11350769523
461000,300.32076637,1.09915583506
462000,298.554443138,1.10480290048
463000,297.910718475,1.10114117099
464000,291.780321016,1.09865283001
465000,309.641853107,1.12158868399
466000,290.971728269,1.1094970077
467000,303.837019202,1.10837222815
468000,296.295860128,1.10769242232
469000,296.30189805,1.11521944137
470000,306.348896975,1.10159779599
471000,296.689288185,1.09433806202
472000,297.92071892,1.10145295302
473000,295.132921998,1.10828704942
474000,314.693925222,1.11468574636
475000,303.404832762,1.09429553407
476000,313.30368213,1.10239093074
477000,306.210485167,1.11334433029
478000,298.694423737,1.09843168538
479000,303.123118026,1.11706099553
480000,299.443678081,1.09688644426
481000,306.481311777,1.08404324029
482000,306.521969698,1.10484440303
483000,307.796622072,1.09325984882
484000,288.267595266,1.10007231467
485000,291.478684619,1.10160709494
486000,300.012881407,1.09695948817
487000,302.524812868,1.09712719219
488000,304.747531595,1.10099783772
489000,292.933708241,1.10171648745
490000,303.935328525,1.09577490942
491000,299.717030115,1.08948883986
492000,297.024577032,1.09188126533
493000,297.02693465,1.12373190303
494000,299.583956362,1.099347564
495000,306.699862766,1.10057278931
496000,291.472547513,1.10693421288
497000,288.218864779,1.10379424342
498000,291.700448642,1.10459522928
499000,287.435509367,1.10767181028
500000,295.005692718,1.10792529752
501000,302.653040942,1.1215463658
502000,298.54141616,1.11773829546
503000,288.119358171,1.1173160742
504000,290.781324035,1.11023939729
505000,296.344653649,1.08827596511
506000,296.423379051,1.12266261796
507000,300.229694773,1.10888592682
508000,292.469748135,1.0966756314
509000,293.592028243,1.11313181779
510000,308.531753356,1.11381570569
