#"Step","Temperature (K)","Density (g/mL)"
11000,299.028782946,1.01010298004
12000,294.368923524,1.04205050585
13000,288.924666915,1.06207331312
14000,307.849352114,1.09047197192
15000,290.770301346,1.08710489149
16000,299.934464718,1.10240042587
17000,301.752499853,1.1183214172
18000,299.553106955,1.11409672656
19000,299.063769472,1.11286826872
20000,297.268570341,1.1254282351
21000,301.32373409,1.11357084407
22000,306.733366804,1.10747098962
23000,289.4269212,1.1019425393
24000,300.451710231,1.09156946039
25000,289.710338325,1.10018157464
26000,305.786162477,1.10173808203
27000,302.769464171,1.1110266242
28000,289.789045876,1.1050023767
29000,296.757955198,1.09722038938
30000,305.019449828,1.10519830683
31000,287.555544729,1.11040642477
32000,301.806240887,1.09608164989
33000,306.53293585,1.11570324297
34000,293.019417649,1.10645025656
35000,291.738348574,1.10890170362
36000,311.319794964,1.10541244701
37000,305.623740644,1.09340685476
38000,300.83848402,1.09744262616
39000,305.521610314,1.10156807468
40000,290.393033243,1.09835817654
41000,306.44345331,1.09816483039
42000,304.333180483,1.10072920334
43000,302.138992748,1.10009275226
44000,288.476520476,1.10301110033
45000,291.940692989,1.09828886867
46000,307.501781414,1.11523912991
47000,308.517615745,1.10093814451
48000,306.505520699,1.11720142333
49000,300.973961441,1.08877799726
50000,288.573362846,1.08305692516
51000,296.667912155,1.09679485424
52000,297.175391766,1.10825020486
53000,317.178661977,1.10332946281
54000,303.524060829,1.11372927979
55000,293.365095498,1.10994149911
56000,294.227264675,1.09295835004
57000,290.836962258,1.10610630773
58000,296.670190891,1.11381160603
59000,294.865645505,1.0934759551
60000,295.388307701,1.09929521557
61000,304.231189543,1.10608061649
62000,299.298119779,1.10508145624
63000,295.580014883,1.11344430324
64000,296.697828632,1.09181182186
65000,306.486874817,1.08931112544
66000,298.631762911,1.10737592449
67000,293.308148972,1.09725601672
68000,284.873432054,1.11234398394
69000,292.504977368,1.11438877435
70000,301.271656615,1.09916175327
71000,298.068459794,1.10418090944
72000,297.991668214,1.10285663029
73000,300.115676123,1.11541696987
74000,294.314949474,1.08352242627
75000,301.882438387,1.10942303522
76000,302.947978361,1.09725697979
77000,304.245161868,1.12577153002
78000,300.605845905,1.10006549421
79000,292.932112582,1.08654219519
80000,307.012394889,1.07885730934
81000,302.796865843,1.09795866645
82000,297.612411658,1.1068441767
83000,297.791562775,1.1072849496
84000,302.720111274,1.11603385575
85000,300.629354056,1.12026585614
86000,297.300183272,1.11846545338
87000,303.381675873,1.12394487681
88000,291.925190395,1.10436516734
89000,285.610501848,1.11643700881
90000,302.828226344,1.11748549837
91000,300.77036283,1.10377523645
92000,303.121019515,1.0988871154
93000,299.230010422,1.10035764775
94000,294.882208197,1.10665670088
95000,288.260655353,1.10000914068
96000,299.15835381,1.1166328432
97000,298.142635194,1.10540100658
98000,287.244664146,1.10130884659
99000,299.979065394,1.10636724214
100000,311.865391176,1.10900234609
101000,292.861316237,1.11993226106
102000,288.654749257,1.12377653948
103000,292.671064187,1.10623870337
104000,295.596821152,1.10366649805
105000,296.543714197,1.09353633091
106000,297.471250547,1.1142637805
107000,305.750014045,1.10832294056
108000,293.25659634,1.11055978788
109000,302.538553456,1.10389162057
110000,284.186855106,1.08921187188
111000,302.182673799,1.11400450988
112000,298.46294892,1.1024942713
113000,285.799104358,1.10992574903
114000,292.335600762,1.09703248126
115000,303.469958984,1.10715309541
116000,299.116857811,1.09978146706
117000,294.547009122,1.0934386685
118000,308.563732561,1.09861552155
119000,293.402777488,1.10753787455
120000,292.20063777,1.10643229308
121000,308.701914421,1.11341092737
122000,289.54700464,1.10699278041
123000,296.17211621,1.11541195244
124000,305.502155563,1.087745741
125000,293.640011209,1.09982963778
126000,292.390439374,1.10745091311
127000,299.00606231,1.12062623526
128000,305.13795449,1.10986353432
129000,308.590222659,1.09828341187
130000,312.250032471,1.11594900095
131000,299.732882722,1.09990023647
132000,304.450865927,1.11205398793
133000,296.811163958,1.09630005091
134000,291.509532685,1.1163673271
135000,296.73629514,1.10343812964
136000,313.836567325,1.09923277861
137000,297.655604358,1.07686656291
138000,308.878919489,1.11472510985
139000,303.195929494,1.10943003865
140000,309.228221352,1.09561777084
141000,298.489866344,1.11440617957
142000,310.418903555,1.1136438926
143000,304.976738292,1.0978956471
144000,298.794877151,1.11109194169
145000,295.953825417,1.10412693848
146000,293.260297242,1.10467803126
147000,293.126799623,1.11073308832
148000,299.74479477,1.1072758339
149000,290.424604747,1.11517818969
150000,305.763121013,1.12307824283
151000,307.248977215,1.11325507442
152000,301.303307797,1.12975662276
153000,303.226825097,1.1093417273
154000,300.171456032,1.12613786912
155000,309.294433272,1.12518014275
156000,305.007236069,1.11663022
157000,304.36905085,1.11436524852
158000,292.276317193,1.0986652572
159000,303.616013586,1.08722100321
160000,302.212247303,1.07646254534
161000,295.487078233,1.10311446152
162000,313.121439265,1.08751922162
163000,291.496269783,1.085628829
164000,303.757948602,1.09598785219
165000,310.398110081,1.11577088071
166000,293.024931761,1.08025766889
167000,299.425237557,1.09134779422
168000,305.399930342,1.09609487399
169000,298.046202865,1.09097106485
170000,303.483011161,1.1066144302
171000,302.630022232,1.1069595827
172000,303.157010272,1.09658150973
173000,299.379954291,1.07423846179
174000,299.887762288,1.08982441363
175000,295.149293418,1.10522342877
176000,302.438201465,1.11687845806
177000,302.699515946,1.09379990154
178000,295.676473205,1.11106124606
179000,299.468074164,1.0749465763
180000,310.578987364,1.09090512067
181000,302.606802193,1.09985835479
182000,295.217972776,1.10588057952
183000,298.550429556,1.09566285605
184000,304.264799862,1.08313215614
185000,299.400429232,1.11458647655
186000,294.768046736,1.09394147831
187000,300.037166127,1.08245352944
188000,304.785179535,1.08314888655
189000,289.903356525,1.09490395687
190000,296.54317396,1.12019219287
191000,293.518553415,1.09849384655
192000,294.173334904,1.1016126291
193000,290.765245202,1.08776676949
194000,297.359821167,1.098214075
195000,313.264038791,1.10730585915
196000,304.85088235,1.10264007595
197000,294.458867819,1.1158468315
198000,294.391914616,1.11122340628
199000,293.79632124,1.10462618484
200000,296.017416928,1.11149495216
201000,289.661954229,1.10799249934
202000,285.75413138,1.0903135355
203000,291.68739666,1.08478348354
204000,306.05562788,1.08525438408
205000,304.692083449,1.08656108588
206000,304.515980833,1.10787679238
207000,307.459145168,1.12042720672
208000,289.490691958,1.09215326322
209000,295.324386778,1.10207409182
210000,302.494878129,1.10996860116
211000,304.900841996,1.11219475459
212000,295.874248508,1.0972866454
213000,297.780883663,1.08855949957
214000,304.248686122,1.09194177278
215000,295.727829148,1.09774940266
216000,294.840511298,1.10307902763
217000,305.006194197,1.10759469705
218000,297.934334937,1.10756200747
219000,294.867884459,1.10045765713
220000,310.437499747,1.11976337173
221000,301.262155708,1.11991769827
222000,300.419490151,1.10378262262
223000,297.153296268,1.09600303782
224000,304.331839267,1.09573559828
225000,294.927082019,1.11777131672
226000,307.866778526,1.11024177277
227000,305.237323222,1.10189497081
228000,305.889378893,1.12199383632
229000,290.703473567,1.11867806786
230000,291.338809114,1.11879572266
231000,297.401574956,1.10307812205
232000,292.36855164,1.09593587504
233000,308.882901125,1.09129989196
234000,298.26794665,1.08894575536
235000,311.355715636,1.10755985424
236000,295.239028134,1.11140100792
237000,306.159435206,1.11378379709
238000,301.063690012,1.11519819362
239000,290.18362264,1.11801384913
